District,Year,Temperature_1,Temperature_2,Temperature_3,Temperature_4,Temperature_5,Temperature_6,Temperature_7,Temperature_8,Temperature_9,Temperature_10,Temperature_11,Temperature_12,Rainfall_1,Rainfall_2,Rainfall_3,Rainfall_4,Rainfall_5,Rainfall_6,Rainfall_7,Rainfall_8,Rainfall_9,Rainfall_10,Rainfall_11,Rainfall_12,Humidity_1,Humidity_2,Humidity_3,Humidity_4,Humidity_5,Humidity_6,Humidity_7,Humidity_8,Humidity_9,Humidity_10,Humidity_11,Humidity_12,January,February,March,April,May,June,July,August,September,October,November,December
Bhola,2020,18.815,20.81,25.915,28.035,29.23,29.275,29.475,29.185,29.72,29.34,24.96,20.08,63,2,3,283,191,387,392,430,286,346,15,0,59.97,63.11,61.65,69.67,73.16,78.93,82.39,79.03,80.57,78.16,74.87,74.45,0,0,0,0,0,0,0,0,0,0,0,0
Bhola,2021,19.865,22.165,27.825,29.76,29.965,28.79,29.22,29.6,29.47,29.36,24.39,20.9,0,1,0,2,77,654,402,363,197,240,2,67,72.42,73.21,63.77,75.4,77.16,79.93,83.48,81.06,86.8,83.94,79.7,82.45,0,0,0,0,0,0,0,3,38,13,6,2
Bhola,2022,19.42916667,20.70565476,26.91465054,29.59888889,28.45698925,28.20569444,28.54301075,28.35698925,27.91652778,27.09865591,24.44805556,21.49099462,18.4,27,17.1,47.9,184.7,284.5,154.7,206.3,353.4,230.9,0,3.2,75.41263441,69.71875,62.35887097,72.48611111,80.86290323,83.48055556,82.20698925,83.22043011,85.64722222,81.65591398,71.33611111,70.94354839,0,0,0,0,0,0,8,10,27,71,105,26
Bhola,2023,19.9780914,23.50401786,26.1436828,29.05111111,29.21733871,29.28430556,28.77782258,28.25577957,28.35097222,27.17755376,24.45958333,20.92110215,2.1,3,68.1,63.1,78.7,226.4,182.4,382.1,240.1,88.5,107.2,4,73.25134409,67.12053571,66.46102151,71.32777778,75.35752688,82.475,83.26478495,87.03360215,86.29583333,81.72849462,77.25972222,79.19354839,3,2,0,1,0,28,510,985,1225,780,275,52
Bhola,2024,21.5,21.6,24.8,28.1,30.9,30.8,27.8,27.3,28.7,29.9,,,0,0.06,0,0,0.18,0.12,32.92,49.25,4.28,13.2,,,57,59,56,79,73,75,87,90,79,77,,,4,1,7,5,13,2,24,49,139,281,,
Bogra,2019,17.09596774,18.04077381,25.22083333,27.61152778,27.4530914,28.035,29.30376344,28.9266129,27.47194444,25.9655914,22.04194444,18.86236559,14.6,68.4,5,135.5,262.6,337.9,190.4,188.2,380.3,283,0.7,0.3,78.50537634,72.65625,63.87768817,79.37638889,81.70430108,84.69444444,79.375,80.87096774,87.99861111,83.05510753,76.09444444,76.81451613,,,,,,,,8636,178,32,16,3
Bogra,2020,16.74206989,20.7141369,24.03521505,27.43861111,28.33266129,29.76486111,29.43951613,28.97580645,28.70430556,26.20793011,23.72013889,19.61680108,0,1.1,64.9,96.8,154.2,378.3,249.3,390.6,286.3,169.9,1.9,23.8,79.55645161,65.42410714,67.63844086,64.61805556,71.13172043,77.20833333,80.875,83.34946237,84.80694444,81.03763441,71.3375,77.5188172,0,0,0,0,0,0,0,0,0,0,0,0
Bogra,2021,21.6,21.5,24.3,32.4,35.3,30.3,27.5,29,29.4,29.1,,,0,0.31,0,0,0,12.35,26.24,1.23,0.77,15.5,,,45,50,29,30,31,73,89,77,76,79,,,0,0,0,0,0,0,1,5,8,4,0,1
Bogra,2022,19.635,21.61,25.16,27.805,29.535,29.935,29.735,30.775,29.45,27.53,25.28,19.225,0,26,13,55,158,348,451,132,160,287,2,1,73.55,75.46,70.16,76.03,77.9,81.87,85.23,83.58,83.47,83.97,80.9,81.74,0,0,0,0,0,0,0,0,0,73,148,20
Bogra,2023,18.185,20.405,25.095,27.235,28.005,29.995,29.735,30.56,29.815,29.295,24.61,19.425,14,2,29,109,478,436,485,166,239,157,0,0,69.74,70.79,70.48,72.5,75.9,80.03,85.71,82.42,83.7,82.94,81.37,80.32,0,0,0,0,0,4,196,518,499,474,288,78
Bogra,2024,18.075,22.075,26.99,29.44,28.865,29.315,30.02,29.76,30.04,29.06,24.07,21.03,0,0,6,24,274,391,278,412,117,93,0,1,68.68,69.04,61.94,73.47,75.87,80.53,83.23,81.23,85.33,83.65,80.87,82.65,2,0,0,0,0,0,0,0,49,158,,
Brahmanbaria,2019,21.215,22.95,25.9,28.585,30.285,29.77,28.53,29.225,28.92,28.34,26.115,20.87,0,64,45,134,291,266,729,474,423,243,201,4,59.97,63.11,61.65,69.67,73.16,78.93,82.39,79.03,80.57,78.16,74.87,74.45,,,,,,,,3768,72,8,0,0
Brahmanbaria,2020,20.015,21.685,26.42,28.17,29.21,28.845,28.68,28.835,29.375,29.355,26.09,21.74,82,4,9,201,219,492,742,547,335,420,47,0,74.77,72.18,72.23,73.23,76.23,81.93,85.35,84.52,86.07,85.19,82.17,81.81,0,0,0,0,0,0,0,0,0,0,0,0
Brahmanbaria,2021,21.305,23.39,27.955,29.67,30.195,28.55,28.57,28.82,29.585,29.21,26.3,22.67,0,0,0,6,158,639,551,449,233,212,0,92,79.74,75.93,74.39,77.23,79.61,84.27,84.84,83.48,84.6,86.84,85.53,84.52,0,0,0,0,0,0,0,3,0,0,0,0
Brahmanbaria,2022,17.88104839,18.93258929,25.73172043,28.19222222,27.50053763,27.54916667,28.95255376,28.9280914,27.74319444,26.45174731,23.27902778,19.48077957,10.9,19.3,32.3,214.6,259.6,352.5,203.2,180,359.6,239.2,1.2,9.7,79.35887097,71.05357143,62.75806452,76.3,82.1733871,85.13472222,80.38172043,79.86155914,85.54305556,82.96102151,76.00833333,77.46102151,0,0,0,0,0,0,0,0,0,3,89,9
Brahmanbaria,2023,17.89959677,21.19940476,23.84596774,27.43652778,28.48145161,29.16694444,29.37244624,28.35416667,28.56916667,26.59771505,23.83625,20.13064516,0.1,1.3,153.3,94.9,136.4,263.7,201.1,429.4,301.5,170.6,104.7,60.7,79.71639785,69.95833333,70.55645161,70.17083333,71.97715054,80.61805556,79.76075269,84.84811828,84.70972222,81.0094086,76.43472222,81.50134409,0,0,0,0,0,2,130,364,368,262,248,59
Brahmanbaria,2024,21.5,21.3,23.6,30,33.6,30.5,25.9,27.1,28.7,29.2,,,0,1.74,0,0,0.03,1.66,53.37,5.96,0.21,10.63,,,55,55,40,66,58,75,96,84,78,78,,,3,0,0,0,0,0,19,7,111,123,,
Chandpur,2019,20.78,22.465,26.36,29.065,30.595,30.56,29.41,30.015,29.87,28.65,25.975,20.735,0,122,42,110,214,193,394,291,143,128,91,4,79.74,75.93,74.39,77.23,79.61,84.27,84.84,83.48,84.6,86.84,85.53,84.52,,,,,,,,8965,265,82,55,10
Chandpur,2020,19.335,21.84,26.51,28.315,29.305,29.76,29.87,29.65,30.235,29.905,25.68,21.02,35,2,30,374,207,251,293,404,224,332,17,0,72.87,72.07,70.52,73.77,74.84,77.33,80.97,82.45,83.23,81.42,79.17,80,0,0,0,0,0,0,0,0,0,0,0,0
Chandpur,2021,20.24,22.71,28.42,30.205,30.575,29.035,29.87,30.02,29.955,29.74,25.075,21.745,2,0,2,3,87,437,391,419,261,196,34,126,75.81,75,74.87,77.8,80.16,85.47,89.77,88.58,90.47,88.13,87.9,86.42,0,0,0,0,0,0,1,15,52,35,24,5
Chandpur,2022,18.30389785,19.76547619,26.62580645,29.03319444,28.10577957,27.98291667,28.91102151,28.86129032,27.51930556,26.42405914,23.16416667,19.72298387,14.8,18.3,25.1,181,229.1,294.9,125.5,131,379.5,262.8,0,3.2,76.92069892,67.59077381,60.00806452,74.14444444,80.92607527,83.55416667,79.62903226,79.37634409,86.92916667,82.93010753,74.90833333,75.15188172,3,0,0,1,0,0,0,11,35,100,130,55
Chandpur,2023,18.74879032,22.4,25.23924731,28.69736111,28.9561828,29.50069444,29.25645161,28.22956989,28.23055556,26.58266129,23.65388889,19.89206989,1.5,1.2,75.2,72.3,95.4,226.6,126.1,390.3,323.4,110.3,89.8,27.5,75.53629032,64.42113095,63.91666667,67.14027778,72.63709677,79.69722222,79.79301075,85.97311828,86.33055556,81.23924731,76.85555556,80.50537634,6,2,0,0,6,83,814,1396,1415,1146,519,149
Chandpur,2024,21.5,21.5,24.6,28.6,31.6,30.7,27.1,26.8,28.5,29.7,,,0,0.93,0,0,0.05,0.05,57.09,26.52,0.74,10.47,,,54,59,41,75,68,75,90,91,81,77,,,49,23,27,60,52,31,40,72,181,387,,
Chapainawabganj,2019,17.945,20.395,24.765,28.74,30.83,31.08,30.49,30.705,29.83,27.2,24.145,18.455,0,46,67,114,147,121,262,114,187,174,3,0,76.84,75.11,68.84,75.93,77.26,81.23,85.55,85.39,87.27,86,82.7,83.19,,,,,,,,1991,69,42,12,0
Chapainawabganj,2020,17.39,19.64,24.83,28.11,28.995,30.485,30.395,30.84,30.465,29.33,23.81,19.08,16,1,27,32,187,283,412,142,213,98,0,0,68.68,69.04,61.94,73.47,75.87,80.53,83.23,81.23,85.33,83.65,80.87,82.65,0,0,0,0,0,0,0,0,0,0,0,0
Chapainawabganj,2021,17.605,20.97,26.915,30.18,29.525,30.06,30.365,30.36,30.22,28.85,23.395,20.295,0,0,0,15,140,263,325,542,135,116,1,1,74.58,71.18,68.29,69.47,71.45,77.83,83.48,79.81,80.27,81.45,79.57,79.71,0,0,0,0,0,0,0,2,6,2,1,0
Chapainawabganj,2022,16.87432796,18.45014881,26.65645161,29.63819444,28.36854839,29.21208333,29.45067204,28.85873656,27.89833333,26.32526882,22.55763889,19.1952957,16.5,53.9,2.2,45.9,221.5,231.6,136.1,181.9,288.4,138.7,0,0.4,80.01747312,72.25892857,58.87768817,69.21388889,78.02956989,80.91944444,79.08064516,81.59811828,86.38055556,79.98655914,71.28194444,73.80510753,0,0,1,0,0,0,0,0,11,38,45,5
Chapainawabganj,2023,17.06626344,21.30907738,25.10174731,29.04236111,29.70537634,31.49888889,29.49637097,29.12325269,28.735,26.52889785,23.60652778,19.43319892,0.1,0,109.3,45.4,66.3,258.7,204,252.6,305.3,138.3,1.6,32.9,77.6438172,62.14136905,62.40994624,53.55972222,65.29973118,69.3125,81.56451613,83.09408602,84.52916667,78.42069892,73.05833333,76.90994624,0,0,0,0,0,5,62,252,315,418,329,67
Chapainawabganj,2024,21,21.5,24.9,34.5,37.2,31.8,30.4,29.9,29,29.6,,,0,0,0,0,0,1.85,21.04,1.58,0.46,3.47,,,44,41,24,16,11,65,72,74,78,76,,,1,0,1,0,0,0,0,1,20,46,,
Chittagong,2019,21.055,23.13,26.145,28.665,30.065,29.98,28.635,29.505,29.095,28.73,26.175,21.385,0,5,8,73,206,152,1110,466,365,123,83,10,74.77,72.18,72.23,73.23,76.23,81.93,85.35,84.52,86.07,85.19,82.17,81.81,,,,,,,,11322,467,454,394,106
Chittagong,2020,20.22,21.455,26.305,28.255,29.47,29.38,28.99,28.99,29.46,29.565,25.86,21.795,49,5,0,129,119,399,605,680,350,338,125,0,74.77,75.5,72.55,78.1,80.26,84.03,84,81.35,84.83,86.32,84.2,82.74,29,155,186,180,204,210,217,217,210,217,210,217
Chittagong,2021,21.39,22.795,27.825,29.44,29.81,28.615,28.785,28.71,29.47,29.465,26.54,22.67,0,0,0,2,130,793,1071,735,364,234,0,95,73.55,75.86,67.35,74.93,79.71,80.7,83.29,80.32,86.57,83.58,80.7,80.94,0,0,0,0,0,1,1,61,88,105,191,117
Chittagong,2022,19.28185484,19.83764881,25.57150538,28.16083333,27.61922043,26.98222222,27.98602151,27.92284946,27.37236111,27.08494624,24.25777778,21.18870968,27.1,17.1,14,56.2,255.4,376.7,180.8,167.6,356.2,169.3,0.8,6.6,77.11424731,70.75892857,69.07795699,79.69444444,83.90725806,87.35833333,84.96102151,84.8655914,88.32777778,84.45026882,75.71944444,74.43010753,6,3,3,2,0,14,62,115,484,1837,2025,766
Chittagong,2023,19.67016129,21.99925595,25.53924731,28.15555556,28.43924731,28.2125,28.18346774,27.26115591,27.75736111,26.66169355,24.37611111,21.18561828,0.2,1.3,48.3,65.4,154.6,247.2,183.8,690.7,322.4,125.4,75.3,17.7,72.94354839,72.45684524,67.63575269,74.95277778,79.57930108,85.41527778,84.67876344,89.19086022,87.7375,83.14919355,79.55694444,80.0766129,77,22,11,22,55,290,2391,3029,3895,2779,1256,373
Chittagong,2024,20.7,20.6,23.5,26.5,29.4,29.6,27.5,25.9,27.6,28.4,,,0,0,0,0.02,0.32,2.75,96.53,74.02,0.78,9.97,,,69,57,53,82,79,82,90,95,82,83,,,58,31,33,13,14,33,207,203,907,1413,,
Chuadanga,2019,17.73,20.56,25.505,28.77,31.07,30.955,30.405,30.06,29.44,27.375,23.93,18.445,0,79,16,81,227,148,172,130,262,141,31,3,75.29,74.36,65.13,75.5,75.77,81.17,83.77,83.61,85.7,84.9,81.87,82.39,,,,,,,,1104,29,19,8,2
Chuadanga,2020,17.355,19.26,24.91,28.255,28.775,30.235,30.31,30.31,30.27,29.29,23.805,18.71,19,4,39,65,348,305,490,162,234,81,2,0,71.9,74.32,74.71,76.07,78.35,83,87.29,85.77,86.43,84.55,85.87,83.39,0,0,0,0,0,0,0,0,0,0,0,0
Chuadanga,2021,17.755,20.815,26.975,30.005,29.65,29.505,29.91,30.15,29.715,28.79,23.015,19.79,0,0,13,6,224,275,322,515,154,61,37,74,73.55,75.86,67.35,74.93,79.71,80.7,83.29,80.32,86.57,83.58,80.7,80.94,0,0,0,0,0,0,0,0,1,1,0,0
Chuadanga,2022,17.22674731,18.57232143,25.76491935,29.29069444,28.08010753,28.78958333,28.56747312,28.18629032,27.58361111,26.19153226,22.28597222,19.51680108,38.8,72.6,8.2,117.6,278.4,267.1,166,183,413.6,187.9,0,0.3,80.53494624,76.9672619,67.03360215,76.43888889,82.09408602,83.71805556,83.78763441,85.16263441,88.04166667,81.94354839,72.93611111,73.79704301,0,0,0,0,0,0,0,0,7,1,0,0
Chuadanga,2023,17.79596774,21.959375,25.04408602,28.88541667,29.21922043,29.97180556,28.93051075,28.61129032,28.19819444,26.61545699,23.65833333,19.6813172,0,0.2,97.4,59.4,152.3,324.9,247.6,310.6,317.5,124.4,5.5,22.6,78.74193548,61.87946429,65.69758065,60.8375,72.2016129,80.08333333,84.6155914,85.53629032,87.21666667,78.94489247,73.20555556,77.04569892,0,0,0,0,0,0,23,80,181,302,256,35
Chuadanga,2024,21.4,22.7,25.7,34.4,37,33.3,29.4,28.5,28.3,29.8,,,0,0.52,0,0,0,0.92,4.05,7.47,4.89,9.69,,,45,52,25,29,30,64,77,84,83,77,,,0,0,0,0,0,0,0,0,11,80,,
Comilla,2019,18.15752688,19.61026786,26.42594086,28.67972222,27.7719086,27.62305556,28.85174731,28.98870968,27.60083333,26.41760753,23.20541667,19.69274194,24.2,15.7,34.2,145.8,189.9,296.1,137.9,156.1,331.7,223.3,0.3,0.8,76.61693548,66.55505952,58.84811828,75.38888889,81.93817204,85.05277778,80.0483871,78.36021505,86.31388889,83.39112903,74.96666667,74.18682796,,,,,,,,8513,193,57,33,13
Comilla,2020,18.37513441,22.02574405,24.73723118,28.5025,28.91532258,29.42944444,29.24556452,28.04717742,28.21388889,26.48024194,23.58388889,19.94005376,0.8,2.2,76.8,141.2,100.1,244.8,151,387.3,259.8,97.9,78.3,40,76.2016129,64.7172619,65.81854839,65.65,70.93548387,79.37777778,79.76478495,86.28897849,86.24583333,81.07526882,77.30833333,80.68413978,0,0,0,0,0,0,0,0,0,0,0,0
Comilla,2021,20.8,22.2,24.5,28.4,31.7,30.2,26,26,27.9,28.4,,,0,0.95,0,0.03,0.04,1.71,56.88,49.96,0.05,16.21,,,60,49,37,77,67,78,95,92,82,83,,,0,0,0,0,0,0,1,11,68,34,20,6
Comilla,2022,20.22,22.75,25.475,28.355,29.835,29.515,28.58,29.02,28.695,28.36,25.48,20.765,0,12,82,16,98,225,951,412,628,256,80,0,77.32,74.68,73.29,76.73,78.39,83.17,86.48,84.94,85,84.55,82.57,82.26,1,0,0,0,0,0,0,0,30,91,205,37
Comilla,2023,19.825,21.3,26.045,27.615,28.855,28.705,28.835,28.515,29.445,29.165,25.245,20.875,27,1,0,56,189,936,934,1068,426,430,34,0,72.87,72.07,70.52,73.77,74.84,77.33,80.97,82.45,83.23,81.42,79.17,80,3,0,0,0,3,2,686,1484,1470,1083,472,184
Comilla,2024,20.54,22.05,26.985,28.6,29.34,28.215,28.47,28.565,28.975,29.065,25.265,22,0,0,0,46,160,731,1097,995,206,208,0,39,73.55,75.46,70.16,76.03,77.9,81.87,85.23,83.58,83.47,83.97,80.9,81.74,25,16,13,29,17,6,35,69,221,420,,
Cox's Bazar,2019,19.52782258,20.14285714,25.10577957,28.00111111,27.50362903,26.62180556,27.52674731,27.12069892,26.93722222,26.87862903,24.74097222,21.75107527,8.8,22.9,20.5,21.4,239.8,371.8,183,299.8,298.8,162.7,1.4,2.5,78.69623656,71.35267857,73.41935484,80.63888889,85.20564516,88.75416667,86.42741935,88.4516129,89.60138889,86.41801075,78.32361111,76.76075269,,,,,,,,2005,55,29,52,13
Cox's Bazar,2020,19.84905914,21.76116071,25.76801075,28.26694444,28.21142473,27.49138889,27.54852151,26.74301075,27.14097222,26.66989247,25.05416667,21.89180108,0,0,16.5,40.5,243.4,384.4,208.2,741.3,364.8,139.3,124.6,32.4,74.50537634,73.47470238,69.73387097,76.39027778,82.03494624,88.29444444,86.77553763,92.02553763,90.00277778,83.96908602,80.52222222,80.93145161,14,29,31,30,31,30,31,31,30,31,30,31
Cox's Bazar,2021,20.6,20.4,23.6,26.4,29.6,29.9,27.8,26.2,27.4,28.4,,,0,0,0,0.04,0.37,0.43,56.23,122.59,0.19,8.25,,,70,57,53,83,77,79,87,95,83,84,,,0,0,0,0,0,0,0,0,4,0,13,350
Cox's Bazar,2022,21.215,22.95,25.9,28.585,30.285,29.77,28.53,29.225,28.92,28.34,26.115,20.87,0,70,29,238,269,202,477,250,208,108,60,8,76.84,75.11,68.84,75.93,77.26,81.23,85.55,85.39,87.27,86,82.7,83.19,43,0,0,0,1,0,159,396,580,440,312,138
Cox's Bazar,2023,20.015,21.685,26.42,28.17,29.21,28.845,28.68,28.835,29.375,29.355,26.09,21.74,39,5,2,215,298,497,470,211,303,191,45,0,79.74,75.93,74.39,77.23,79.61,84.27,84.84,83.48,84.6,86.84,85.53,84.52,27,15,6,7,12,35,386,985,1326,941,620,299
Cox's Bazar,2024,21.305,23.39,27.955,29.67,30.195,28.55,28.57,28.82,29.585,29.21,26.3,22.67,0,0,0,3,132,258,636,288,544,118,36,164,71.55,72.86,70.87,74.07,78,83.5,87.23,84,84.37,82.32,80.07,79.06,61,18,18,27,29,48,460,1209,1280,1099,,
